trial_nr	onset	event_type	phase	response	nr_frames	condition	fix_color_changetime	onset_abs	duration
0	0.07497509600000285	stim	0		1237			66.77137707899999	10.308435508000002
0	10.36749746199996	response	0	space				77.06389944499995	
1	10.383410604000005	stim	0		12141			77.07981258699999	101.17833599200003
1	111.54958432399997	pulse	0	t				178.24598630699995	
1	111.56174659600003	stim	1		2881			178.25814857900002	24.007756684000015
2	135.56950328000005	iti	0		1066	right	5.394634808773205	202.26590526300004	8.883519203999867
2	139.51137380199987	response	0	b		right	5.394634808773205	206.20777578499985	
2	144.45302248399992	stim	1		90	right	5.394634808773205	211.1494244669999	0.7500084200000856
3	145.203030904	iti	0		619	right	2.2281996686912438	211.899432887	5.158445541999981
3	148.5865606619999	response	0	b		right	2.2281996686912438	215.28296264499988	
3	150.36147644599998	stim	1		90	right	2.2281996686912438	217.05787842899997	0.750019815000087
4	151.11149626100007	iti	0		560	right	0.7879191656158615	217.80789824400006	4.666807452999819
4	153.54502783300006	pulse	0	t		right	0.7879191656158615	220.24142981600005	
4	155.48669368899994	response	0	b		right	0.7879191656158615	222.18309567199992	
4	155.7783037139999	stim	1		90	right	0.7879191656158615	222.47470569699988	0.7499855030000617
5	156.52828921699995	iti	0		641	left	5.252632581249306	223.22469119999994	5.341763386999901
5	157.48673732099985	response	0	b		left	5.252632581249306	224.18313930399984	
5	161.87005260399985	stim	1		90	left	5.252632581249306	228.56645458699984	0.7500165930000549
6	162.6200691969999	iti	0		540	left	2.69539334116105	229.3164711799999	4.500090923000016
6	165.278570199	response	0	b		left	2.69539334116105	231.974972182	
6	167.12016011999992	stim	1		90	left	2.69539334116105	233.8165621029999	0.7500249300001087
7	167.87018505000003	iti	0		568	right	1.9157349615487282	234.56658703300002	4.73341518999996
7	171.12868514900003	response	0	b		right	1.9157349615487282	237.82508713200002	
7	172.60360024	stim	1		90	right	1.9157349615487282	239.30000222299998	0.7500058200000694
8	173.35360606000006	iti	0		588	right	4.180933177614687	240.05000804300005	4.900118522999946
8	174.62042672099994	response	0	b		right	4.180933177614687	241.31682870399993	
8	178.253724583	stim	1		90	right	4.180933177614687	244.950126566	0.7500064559999373
9	179.00373103899994	iti	0		768	left	2.282917816565284	245.70013302199993	6.4001379060000545
9	183.60393814499992	response	0	b		left	2.282917816565284	250.3003401279999	
9	185.403868945	stim	1		90	left	2.282917816565284	252.100270928	0.7500153329999648
10	186.15388427799996	iti	0		478	left	4.786559087349746	252.85028626099995	3.983401188000016
10	186.73732691499993	response	0	b		left	4.786559087349746	253.4337288979999	
