trial_nr	onset	event_type	phase	response	nr_frames	condition	onset_abs	duration
0	0.006872892379760742	stim	0		12926		176.08424973487854	107.71560406684875
0	107.71958804130554	pulse	0	t			283.7969648838043	
1	107.72247695922852	stim	0		2401	baseline	283.7998538017273	20.008777141571045
1	108.83151507377625	pulse	0	t		baseline	284.908891916275	
1	109.93984699249268	pulse	0	t		baseline	286.01722383499146	
1	111.04930710792542	pulse	0	t		baseline	287.1266839504242	
1	112.16480088233948	pulse	0	t		baseline	288.24217772483826	
1	112.29805302619934	response	0	b		baseline	288.3754298686981	
1	113.27308893203735	pulse	0	t		baseline	289.35046577453613	
1	114.38974595069885	pulse	0	t		baseline	290.46712279319763	
1	115.4982590675354	pulse	0	t		baseline	291.5756359100342	
1	115.93139910697937	response	0	b		baseline	292.00877594947815	
1	116.6063859462738	pulse	0	t		baseline	292.6837627887726	
1	117.72312498092651	pulse	0	t		baseline	293.8005018234253	
1	118.83148694038391	pulse	0	t		baseline	294.9088637828827	
1	119.11470293998718	response	0	b		baseline	295.19207978248596	
1	119.94092202186584	pulse	0	t		baseline	296.0182988643646	
1	121.05637693405151	pulse	0	t		baseline	297.1337537765503	
1	122.16479110717773	pulse	0	t		baseline	298.2421679496765	
1	123.23977208137512	response	0	b		baseline	299.3171489238739	
1	123.28138589859009	pulse	0	t		baseline	299.35876274108887	
1	124.38974499702454	pulse	0	t		baseline	300.4671218395233	
1	125.4981300830841	pulse	0	t		baseline	301.5755069255829	
1	125.95640397071838	response	0	b		baseline	302.03378081321716	
1	126.61476588249207	pulse	0	t		baseline	302.69214272499084	
1	127.72307395935059	pulse	0	t		baseline	303.80045080184937	
2	127.73125410079956	stim	0		30	horizontal	303.80863094329834	0.25005483627319336
3	127.98130893707275	stim	0		30	horizontal	304.05868577957153	0.24998116493225098
4	128.231290102005	stim	0		30	horizontal	304.3086669445038	0.25004100799560547
5	128.4813311100006	stim	0		30	horizontal	304.5587079524994	0.24996280670166016
6	128.73129391670227	stim	0		30	horizontal	304.80867075920105	0.2499680519104004
6	128.83292603492737	pulse	0	t		horizontal	304.91030287742615	
7	128.98126196861267	stim	0		30	horizontal	305.05863881111145	0.2500641345977783
8	129.23132610321045	stim	0		30	horizontal	305.30870294570923	0.24988293647766113
9	129.4812090396881	stim	0		30	horizontal	305.5585858821869	0.25003790855407715
10	129.7312469482422	stim	0		30	horizontal	305.80862379074097	0.25014305114746094
10	129.94821906089783	pulse	0	t		horizontal	306.0255959033966	
11	129.98138999938965	stim	0		30	horizontal	306.0587668418884	0.24993109703063965
11	130.1745150089264	response	0	b		horizontal	306.25189185142517	
12	130.2313210964203	stim	0		30	horizontal	306.30869793891907	0.2499229907989502
13	130.48124408721924	stim	0		30	horizontal	306.558620929718	0.2500598430633545
14	130.7313039302826	stim	0		30	horizontal	306.8086807727814	0.2499699592590332
15	130.98127388954163	stim	0		30	horizontal	307.0586507320404	0.25005006790161133
15	131.05643510818481	pulse	0	t		horizontal	307.1338119506836	
16	131.23132395744324	stim	0		30	horizontal	307.308700799942	0.24997901916503906
17	131.48130297660828	stim	0		30	horizontal	307.55867981910706	0.25002503395080566
18	131.73132801055908	stim	0		30	horizontal	307.80870485305786	0.25005507469177246
19	131.98138308525085	stim	0		30	horizontal	308.05875992774963	0.249924898147583
19	132.17304301261902	pulse	0	t		horizontal	308.2504198551178	
20	132.23130798339844	stim	0		30	horizontal	308.3086848258972	0.25002312660217285
21	132.4813311100006	stim	0		30	horizontal	308.5587079524994	0.2500917911529541
22	132.73142290115356	stim	0		30	horizontal	308.80879974365234	0.24993515014648438
22	132.8897249698639	response	0	b		horizontal	308.96710181236267	
23	132.98135805130005	stim	0		30	horizontal	309.0587348937988	0.2499239444732666
24	133.23128199577332	stim	0		30	horizontal	309.3086588382721	0.2500159740447998
24	133.28139805793762	pulse	0	t		horizontal	309.3587749004364	
25	133.48129796981812	stim	0		30	horizontal	309.5586748123169	0.24995708465576172
26	133.73125505447388	stim	0		30	horizontal	309.80863189697266	0.2501819133758545
27	133.98143696784973	stim	0		30	horizontal	310.0588138103485	0.24987506866455078
28	134.23131203651428	stim	0		30	horizontal	310.30868887901306	0.24994897842407227
28	134.39135098457336	pulse	0	t		horizontal	310.46872782707214	
29	134.48126101493835	stim	0		30	horizontal	310.55863785743713	0.2500748634338379
30	134.7313358783722	stim	0		30	horizontal	310.808712720871	0.24992108345031738
31	134.9812569618225	stim	0		30	horizontal	311.0586338043213	0.25002598762512207
32	135.23128294944763	stim	0		30	horizontal	311.3086597919464	0.25008511543273926
33	135.48136806488037	stim	0		30	horizontal	311.55874490737915	0.24994683265686035
33	135.50642108917236	pulse	0	t		horizontal	311.58379793167114	
34	135.73131489753723	stim	0		30	horizontal	311.808691740036	0.24994897842407227
35	135.9812638759613	stim	0		30	horizontal	312.0586407184601	0.2500491142272949
36	136.2313129901886	stim	0		30	horizontal	312.3086898326874	0.24998903274536133
37	136.48130202293396	stim	0		30	horizontal	312.55867886543274	0.2500009536743164
37	136.61472511291504	pulse	0	t		horizontal	312.6921019554138	
38	136.73130297660828	stim	0		30	horizontal	312.80867981910706	0.24990296363830566
38	136.93971300125122	response	0	b		horizontal	313.01708984375	
39	136.98120594024658	stim	0		30	horizontal	313.05858278274536	0.25000905990600586
40	137.2312150001526	stim	0		30	horizontal	313.30859184265137	0.2499990463256836
41	137.48121404647827	stim	0		30	horizontal	313.55859088897705	0.2500009536743164
42	137.7312150001526	stim	0		30	horizontal	313.80859184265137	0.2500638961791992
42	137.72516703605652	pulse	0	t		horizontal	313.8025438785553	
43	137.9812788963318	stim	0		30	horizontal	314.05865573883057	0.2500190734863281
44	138.23129796981812	stim	0		30	horizontal	314.3086748123169	0.2499990463256836
45	138.4812970161438	stim	0		30	horizontal	314.5586738586426	0.2500009536743164
46	138.73129796981812	stim	0		30	horizontal	314.8086748123169	0.25000905990600586
46	138.83974409103394	pulse	0	t		horizontal	314.9171209335327	
